date,code,name,store_name,value
2023-01-03,9,酒類,ekimae,"536,270"
2023-01-03,273,ワイン,inada,"12,557"
2023-01-03,273,ワイン,otofuke,"15,751"
2023-01-03,273,ワイン,ekimae,"128,956"
2023-01-03,274,ビール類,inada,"138,142"
2023-01-03,274,ビール類,otofuke,"114,074"
2023-01-03,274,ビール類,ekimae,"220,943"
2023-01-04,1,菓　子,inada,"158,933"
2023-01-04,1,菓　子,otofuke,"176,785"
2023-01-04,1,菓　子,ekimae,"494,830"
2023-01-04,2,嗜好品,inada,"70,898"
2023-01-04,2,嗜好品,otofuke,"58,219"
2023-01-04,2,嗜好品,ekimae,"158,933"
2023-01-04,3,調味料,inada,"131,172"
2023-01-04,3,調味料,otofuke,"143,025"
2023-01-04,3,調味料,ekimae,"196,357"
2023-01-04,4,調理素材,inada,"24,118"
2023-01-04,4,調理素材,otofuke,"21,928"
2023-01-04,4,調理素材,ekimae,"38,941"
2023-01-04,5,クイックフーズ,inada,"160,825"
2023-01-04,5,クイックフーズ,otofuke,"157,543"
2023-01-04,5,クイックフーズ,ekimae,"282,278"
2023-01-04,6,グロサリーギフト,inada,"5,980"
2023-01-04,6,グロサリーギフト,otofuke,"1,800"
2023-01-04,6,グロサリーギフト,ekimae,"5,500"
2023-01-04,7,銘店,otofuke,"1,360"
2023-01-04,7,銘店,ekimae,"36,632"
2023-01-04,8,米,inada,"69,296"
2023-01-04,8,米,otofuke,"44,389"
2023-01-04,8,米,ekimae,"46,999"
2023-01-04,55,タバコ,inada,"45,715"
2023-01-04,55,タバコ,otofuke,"28,813"
2023-01-04,55,タバコ,ekimae,"57,045"
2023-01-04,74,飲料,inada,"133,746"
2023-01-04,74,飲料,otofuke,"128,069"
2023-01-04,74,飲料,ekimae,"278,032"
2023-01-04,9,酒類,inada,"71,840"
2023-01-04,9,酒類,otofuke,"98,797"
2023-01-04,9,酒類,ekimae,"262,095"
2023-01-04,273,ワイン,inada,"13,979"
2023-01-04,273,ワイン,otofuke,"12,363"
2023-01-04,273,ワイン,ekimae,"84,701"
2023-01-04,274,ビール類,inada,"115,877"
2023-01-04,274,ビール類,otofuke,"77,180"
2023-01-04,274,ビール類,ekimae,"141,315"
2023-01-05,1,菓　子,inada,"184,555"
2023-01-05,1,菓　子,otofuke,"130,786"
2023-01-05,1,菓　子,ekimae,"459,302"
2023-01-05,2,嗜好品,inada,"49,910"
2023-01-05,2,嗜好品,otofuke,"57,047"
2023-01-05,2,嗜好品,ekimae,"160,179"
2023-01-05,3,調味料,inada,"136,213"
2023-01-05,3,調味料,otofuke,"121,935"
2023-01-05,3,調味料,ekimae,"190,785"
2023-01-05,4,調理素材,inada,"20,041"
2023-01-05,4,調理素材,otofuke,"18,533"
2023-01-05,4,調理素材,ekimae,"50,182"
2023-01-05,5,クイックフーズ,inada,"154,295"
2023-01-05,5,クイックフーズ,otofuke,"142,341"
2023-01-05,5,クイックフーズ,ekimae,"277,217"
2023-01-05,6,グロサリーギフト,inada,"6,930"
2023-01-05,6,グロサリーギフト,ekimae,"1,251"
2023-01-05,7,銘店,otofuke,"1,200"
2023-01-05,7,銘店,ekimae,"31,948"
2023-01-05,8,米,inada,"59,164"
